tuple_kind,components,n_postings
warehouse-transformation-orchestration,snowflake|dbt_core|airflow,9
warehouse-transformation-orchestration,bigquery|dbt_core|airflow,5
warehouse-transformation-orchestration,redshift|dbt_core|airflow,4
warehouse-transformation-orchestration,snowflake|dbt_core|dagster,3
warehouse-transformation-orchestration,databricks|dbt_core|airflow,2
warehouse-transformation-orchestration,redshift|dbt_core|dagster,2
warehouse-transformation-orchestration,databricks|dbt_core|temporal,1
warehouse-transformation-orchestration,bigquery|dbt_core|dagster,1
warehouse-transformation-orchestration,athena|dbt_core|airflow,1
warehouse-transformation-orchestration,clickhouse|dbt_core|airflow,1
cloud-warehouse-orchestration,aws|redshift|airflow,4
cloud-warehouse-orchestration,aws|snowflake|airflow,4
cloud-warehouse-orchestration,aws|snowflake|dagster,4
cloud-warehouse-orchestration,aws|databricks|airflow,3
cloud-warehouse-orchestration,aws|redshift|dagster,3
cloud-warehouse-orchestration,aws|athena|dagster,2
cloud-warehouse-orchestration,aws|bigquery|airflow,2
cloud-warehouse-orchestration,aws|bigquery|dagster,2
cloud-warehouse-orchestration,aws|bigquery|prefect,2
cloud-warehouse-orchestration,aws|clickhouse|dagster,2
