category,instance,n_postings,pct_of_total
cloud_platform,aws,16,40.0
cloud_platform,gcp,5,12.5
cloud_platform,azure,4,10.0
cloud_platform,multicloud,1,2.5
warehouse,snowflake,17,42.5
warehouse,bigquery,10,25.0
warehouse,redshift,8,20.0
warehouse,databricks,6,15.0
warehouse,clickhouse,6,15.0
warehouse,athena,3,7.5
warehouse,postgres_as_warehouse,2,5.0
open_table_format,iceberg,4,10.0
open_table_format,delta,3,7.5
open_table_format,parquet_only,2,5.0
open_table_format,hudi,2,5.0
transformation,dbt_core,17,42.5
transformation,custom_python,1,2.5
orchestration,airflow,16,40.0
orchestration,dagster,8,20.0
orchestration,temporal,2,5.0
orchestration,prefect,2,5.0
orchestration,step_functions,1,2.5
ingestion_elt,fivetran,4,10.0
ingestion_elt,airbyte_oss,3,7.5
ingestion_elt,custom_python,1,2.5
cdc,debezium,2,5.0
cdc,dms,1,2.5
streaming,kafka,12,30.0
streaming,kinesis,4,10.0
streaming,pubsub,4,10.0
streaming,msk,1,2.5
bi,tableau,5,12.5
bi,looker,3,7.5
bi,powerbi,2,5.0
bi,sigma,2,5.0
bi,metabase,2,5.0
bi,preset_superset,2,5.0
bi,mode,1,2.5
reverse_etl,polytomic,2,5.0
semantic_layer,none,1,2.5
catalog_governance,unity_catalog,1,2.5
observability_dq,monte_carlo,2,5.0
observability_dq,great_expectations,1,2.5
observability_dq,dbt_tests,1,2.5
iac,terraform,14,35.0
iac,cdk,1,2.5
iac,cloudformation,1,2.5
iac,pulumi,1,2.5
cicd,github_actions,5,12.5
cicd,jenkins,1,2.5
experiment_tracking,mlflow,1,2.5
model_serving,cloud_run,1,2.5
vector_db,elasticsearch,1,2.5
rag_framework,none_explicit,1,2.5
ml_eval,custom,1,2.5
