subset,n_in_subset,category,instance,n_postings,pct_of_subset
all,40,cloud_platform,aws,16,40.0
all,40,cloud_platform,gcp,5,12.5
all,40,cloud_platform,azure,4,10.0
all,40,cloud_platform,multicloud,1,2.5
all,40,warehouse,snowflake,17,42.5
all,40,warehouse,bigquery,10,25.0
all,40,warehouse,redshift,8,20.0
all,40,warehouse,databricks,6,15.0
all,40,warehouse,clickhouse,6,15.0
all,40,warehouse,athena,3,7.5
all,40,warehouse,postgres_as_warehouse,2,5.0
all,40,open_table_format,iceberg,4,10.0
all,40,open_table_format,delta,3,7.5
all,40,open_table_format,parquet_only,2,5.0
all,40,open_table_format,hudi,2,5.0
all,40,transformation,dbt_core,17,42.5
all,40,transformation,custom_python,1,2.5
all,40,orchestration,airflow,16,40.0
all,40,orchestration,dagster,8,20.0
all,40,orchestration,temporal,2,5.0
all,40,orchestration,prefect,2,5.0
all,40,orchestration,step_functions,1,2.5
all,40,ingestion_elt,fivetran,4,10.0
all,40,ingestion_elt,airbyte_oss,3,7.5
all,40,ingestion_elt,custom_python,1,2.5
all,40,cdc,debezium,2,5.0
all,40,cdc,dms,1,2.5
all,40,streaming,kafka,12,30.0
all,40,streaming,kinesis,4,10.0
all,40,streaming,pubsub,4,10.0
all,40,streaming,msk,1,2.5
all,40,bi,tableau,5,12.5
all,40,bi,looker,3,7.5
all,40,bi,powerbi,2,5.0
all,40,bi,sigma,2,5.0
all,40,bi,metabase,2,5.0
all,40,bi,preset_superset,2,5.0
all,40,bi,mode,1,2.5
all,40,reverse_etl,polytomic,2,5.0
all,40,semantic_layer,none,1,2.5
all,40,catalog_governance,unity_catalog,1,2.5
all,40,observability_dq,monte_carlo,2,5.0
all,40,observability_dq,great_expectations,1,2.5
all,40,observability_dq,dbt_tests,1,2.5
all,40,iac,terraform,14,35.0
all,40,iac,cdk,1,2.5
all,40,iac,cloudformation,1,2.5
all,40,iac,pulumi,1,2.5
all,40,cicd,github_actions,5,12.5
all,40,cicd,jenkins,1,2.5
all,40,experiment_tracking,mlflow,1,2.5
all,40,model_serving,cloud_run,1,2.5
all,40,vector_db,elasticsearch,1,2.5
all,40,rag_framework,none_explicit,1,2.5
all,40,ml_eval,custom,1,2.5
series_a_b,28,cloud_platform,aws,10,35.7
series_a_b,28,cloud_platform,gcp,4,14.3
series_a_b,28,cloud_platform,azure,2,7.1
series_a_b,28,cloud_platform,multicloud,1,3.6
series_a_b,28,warehouse,snowflake,11,39.3
series_a_b,28,warehouse,bigquery,7,25.0
series_a_b,28,warehouse,redshift,6,21.4
series_a_b,28,warehouse,clickhouse,5,17.9
series_a_b,28,warehouse,athena,3,10.7
series_a_b,28,warehouse,databricks,3,10.7
series_a_b,28,warehouse,postgres_as_warehouse,2,7.1
series_a_b,28,open_table_format,iceberg,3,10.7
series_a_b,28,open_table_format,delta,3,10.7
series_a_b,28,open_table_format,parquet_only,2,7.1
series_a_b,28,open_table_format,hudi,2,7.1
series_a_b,28,transformation,dbt_core,9,32.1
series_a_b,28,transformation,custom_python,1,3.6
series_a_b,28,orchestration,airflow,11,39.3
series_a_b,28,orchestration,dagster,5,17.9
series_a_b,28,orchestration,prefect,2,7.1
series_a_b,28,orchestration,temporal,1,3.6
series_a_b,28,ingestion_elt,fivetran,3,10.7
series_a_b,28,ingestion_elt,airbyte_oss,2,7.1
series_a_b,28,ingestion_elt,custom_python,1,3.6
series_a_b,28,cdc,debezium,1,3.6
series_a_b,28,streaming,kafka,6,21.4
series_a_b,28,streaming,pubsub,4,14.3
series_a_b,28,streaming,kinesis,3,10.7
series_a_b,28,bi,tableau,3,10.7
series_a_b,28,bi,metabase,2,7.1
series_a_b,28,bi,preset_superset,2,7.1
series_a_b,28,bi,looker,2,7.1
series_a_b,28,bi,powerbi,1,3.6
series_a_b,28,bi,mode,1,3.6
series_a_b,28,reverse_etl,polytomic,2,7.1
series_a_b,28,semantic_layer,none,1,3.6
series_a_b,28,catalog_governance,unity_catalog,1,3.6
series_a_b,28,iac,terraform,9,32.1
series_a_b,28,iac,cloudformation,1,3.6
series_a_b,28,cicd,github_actions,4,14.3
series_a_b,28,cicd,jenkins,1,3.6
series_a_b,28,model_serving,cloud_run,1,3.6
series_a_b,28,vector_db,elasticsearch,1,3.6
series_a_b,28,rag_framework,none_explicit,1,3.6
mid_market,18,cloud_platform,aws,9,50.0
mid_market,18,cloud_platform,gcp,4,22.2
mid_market,18,cloud_platform,azure,3,16.7
mid_market,18,warehouse,snowflake,10,55.6
mid_market,18,warehouse,bigquery,5,27.8
mid_market,18,warehouse,databricks,4,22.2
mid_market,18,warehouse,clickhouse,4,22.2
mid_market,18,warehouse,redshift,3,16.7
mid_market,18,warehouse,athena,2,11.1
mid_market,18,open_table_format,parquet_only,1,5.6
mid_market,18,open_table_format,iceberg,1,5.6
mid_market,18,open_table_format,delta,1,5.6
mid_market,18,transformation,dbt_core,12,66.7
mid_market,18,orchestration,airflow,10,55.6
mid_market,18,orchestration,dagster,5,27.8
mid_market,18,orchestration,temporal,1,5.6
mid_market,18,ingestion_elt,airbyte_oss,3,16.7
mid_market,18,ingestion_elt,fivetran,2,11.1
mid_market,18,cdc,debezium,2,11.1
mid_market,18,cdc,dms,1,5.6
mid_market,18,streaming,kafka,7,38.9
mid_market,18,streaming,kinesis,2,11.1
mid_market,18,streaming,msk,1,5.6
